word,count
"heräävän", 1
"heti", 34
"hetkeksi", 4
"hetkellä", 1
"hetken", 6
"hetkenä", 1
"hetkessä", 1
"hetket", 1
"hetkeä", 3
"hetkeäkään", 1
"hetki", 1
"hetkikö", 1
"hetkiseksi", 1
"hetkisen", 7
"hetman", 9
"hetmania", 1
"hetmanille", 1
"hetmanin", 4
"hetmanit", 1
"hevonen", 3
"hevos", 1
"hevoseen", 1
"hevoselle", 1
"hevosen", 11
"hevosenne", 1
"hevosensa", 8
"hevoset", 12
"hevosia", 4
"hevosiaan", 1
"hevosillaan", 1
"hevosineen", 3
"hevosista", 1
"hevoskaakin", 1
"hevoslauma", 1
"hevoslaumasta", 1
"hevoslaumoja", 1
"hevosloimilla", 1
"hevosta", 4
"hevostaan", 1
"hevostansa", 2
"hevosten", 3
"hevostensa", 3
"hevosväen", 2
"hiekkaa", 2
"hieman", 1
"hieno", 1
"hienoa", 1
"hienoin", 1
"hienoista", 1
"hienoja", 2
"hienolle", 1
"hienompiinkin", 1
"hienot", 1
"hienouksista", 1
"hieroivat", 1
"hihalla", 1
"hihallaan", 1
"hihansa", 1
"hihasta", 2
"hihojen", 1
"hiiltynyt", 2
"hiipi", 1
"hiipiä", 1
"hiiskua", 1
"hiiteen", 6
"hiljaa", 15
"hiljaisen", 2
"hiljaista", 2
"hiljaisuus", 1
"hiljalleen", 3
"hiljeni", 2
"hillittömän", 1
"hillitä", 1
"himmeillä", 1
"himmeää", 1
"himo", 1
"hinnaksi", 1
"hinnalla", 1
"hipiälle", 1
"hirnahtelivat", 1
"hirnumista", 1
"hirnunta", 1
"hirsinen", 1
"hirsipuuta", 1
"hirsiä", 1
"hirssijauhopussinkin", 1
"hirssijyviä", 1
"hirteen", 1
"hirtettiin", 1
"hirtetty", 1
"hirtetään", 1
"hirttonuora", 1
"hirttää", 3
"hirttääkseen", 1
"hirtän", 1
"hirveän", 1
"historian", 1
"historiasta", 1
"hitaasti", 1
"hitossa", 1
"hittoa", 2
"hiukan", 1
"hiuksensa", 1
"hiukset", 9
"hiuksia", 1
"hiuksiaan", 1
"hiuksiansa", 1
"hiuksista", 1
"hiuskarvansakin", 1
"hivustukot", 1
"hivuttaa", 1
"hlib", 3
"hm", 1
"hoikka", 1
"hoito", 1
"hold", 1
"holder", 4
"holvi", 1
"holviin", 1
"holvissako", 1
"holvistossa", 1
"holvit", 1
"hope", 1
"hopeaa", 2
"hopeahelainen", 1
"hopeainen", 1
"hopeaiset", 1
"hopeaisia", 1
"hopeaisine", 1
"hopean", 1
"hopeankirkkaana", 1
"hopeapikareita", 1
"hopeoiduilla", 1
"hopeoitua", 1
"horatius", 2
"horjahtaneet", 1
"horjahti", 3
"horju", 1
"horjua", 3
"horkassa", 1
"horsma", 1
"houkutelkaa", 1
"houkutelkaapas", 1
"houkutelluiksi", 1
"houkuttelevina", 1
"houkutteli", 1
"houraileminen", 1
"hourailet", 1
"housuissaan", 1
"housuistaan", 1
"housuitta", 2
"housuja", 2
"housujensa", 1
"housunlahkeet", 1
"housunsa", 1
"housut", 1
"how", 4
"however", 1
"http", 1
"huima", 1
"huimaa", 2
"huimaan", 1
"huiman", 1
"huimapäinen", 1
"huimasti", 2
"huiminta", 1
"huippu", 1
"huippujaan", 1
"huipulla", 1
"huitoen", 1
"huitoi", 3
"huivi", 1
"huivia", 1
"huivin", 1
"huivit", 1
"hukkaan", 2
"hukkui", 2
"hukkuvien", 1
"hukutti", 2
"hullusti", 1
"humala", 3
"humalaan", 1
"humalaiset", 1
"humalassa", 1
"hunajakakkuja", 1
"hundreds", 1
"huntuun", 1
"huokaili", 2
"huokaillen", 1
"huokasi", 2
"huokealla", 1
"huolellisesti", 3
"huoleti", 1
"huolettomaksi", 1
"huolettomien", 1
"huolettomuutta", 1
"huoli", 1
"huolimatta", 5
"huolimattomana", 1
"huolimattomuutta", 1
"huolin", 1
"huolta", 2
"huomaa", 1
"huomaamatta", 3
"huomaan", 1
"huomaankin", 1
